2019-12-24 21:48:24.652 [main] INFO  - Loading §anukkit.yml§f ...
2019-12-24 21:48:24.891 [main] INFO  - Loading §aserver.properties§f ...
2019-12-24 21:48:24.977 [main] INFO  - Selected English (eng) as the base language
2019-12-24 21:48:24.986 [main] INFO  - Starting Minecraft: BE server version §bv1.14.0§r
2019-12-24 21:48:25.011 [main] INFO  - Selected Zlib Provider: 2 (cn.nukkit.utils.ZlibThreadLocal)
2019-12-24 21:48:25.212 [main] INFO  - Opening server on 0.0.0.0:19132
2019-12-24 21:48:25.311 [main] INFO  - This server is running Nukkit version §egit-8088000§f "§b§f" (API 1.0.9)
2019-12-24 21:48:25.315 [main] INFO  - Nukkit is distributed under the LGPL License
2019-12-24 21:48:28.122 [main] INFO  - Loading recipes...
2019-12-24 21:48:28.707 [main] INFO  - Loaded 1320 recipes.
2019-12-24 21:48:28.802 [main] INFO  - Successfully loaded 0 resource packs
2019-12-24 21:48:29.214 [main] INFO  - Loading AutoCleaner v1.0.1
2019-12-24 21:48:29.305 [main] INFO  - Loading CustomEnchantsNK v1.0.0-beta3
2019-12-24 21:48:29.340 [main] INFO  - Loading DiscordChat v2.0-beta
2019-12-24 21:48:29.394 [main] INFO  - Loading EconomyAPI v2.0.1
2019-12-24 21:48:29.454 [main] INFO  - Loading EconomyJob v1.0
2019-12-24 21:48:29.502 [main] INFO  - Loading EssentialsNK v1.8.0
2019-12-24 21:48:29.534 [RakNet Thread #14] INFO  - Epoll Status is false
2019-12-24 21:48:29.566 [main] INFO  - Loading Factions v1.7.0
2019-12-24 21:48:29.658 [main] INFO  - Loading FakeInventories v1.0.3
2019-12-24 21:48:29.702 [main] INFO  - Loading FastAsyncWorldEdit v19.03.29-d13b946-1257-22.0.14
2019-12-24 21:48:29.743 [main] INFO  - Loading KotlinLib v1.1
2019-12-24 21:48:29.759 [main] INFO  - Loading LoveRTP v1
2019-12-24 21:48:29.782 [main] INFO  - Loading MultiWorld v1.0
2019-12-24 21:48:29.802 [main] INFO  - Loading PlaceholderAPI v1.3.1
2019-12-24 21:48:29.988 [main] INFO  - Loading Pokkit v0.9.1
2019-12-24 21:48:30.155 [main] INFO  - [Pokkit] This server is running Nukkit version v1.14.0 (Implementing API version 1.13.2-R0.1-SNAPSHOT)
2019-12-24 21:48:30.194 [main] INFO  - [Pokkit] Server permissions file C:\Users\Lemon\OneDrive\Documents\Music\Desktop\nukkit\plugins\Pokkit\permissions.yml is empty, ignoring it
2019-12-24 21:48:30.279 [main] INFO  - [Pokkit] [Vault] Enabling Vault v1.7.2-b107
2019-12-24 21:48:30.452 [main] INFO  - [Pokkit] [Vault] [Permission] SuperPermissions loaded as backup permission system.
2019-12-24 21:48:30.541 [main] INFO  - [Pokkit] [Vault] Enabled Version 1.7.2-b107
2019-12-24 21:48:30.559 [main] INFO  - Loading QuickSpawns v1.0
2019-12-24 21:48:30.582 [main] INFO  - [QuickSpawns] Loading QuickSpawns...
2019-12-24 21:48:30.608 [main] INFO  - Loading ReportSystem v1.0-SNAPSHOT
2019-12-24 21:48:30.645 [main] INFO  - Loading SeeInv v1.0
2019-12-24 21:48:30.689 [main] INFO  - Loading SRegionProtector v20.2
2019-12-24 21:48:30.762 [main] INFO  - Loading ChestShop v1.1.1
2019-12-24 21:48:30.793 [main] INFO  - Loading Holograms v3.1.3
2019-12-24 21:48:30.851 [main] INFO  - [Holograms] Loading characters...
2019-12-24 21:48:31.191 [main] INFO  - [Holograms] Loading config...
2019-12-24 21:48:31.228 [main] INFO  - [Holograms] Loading placeholders
2019-12-24 21:48:31.241 [main] INFO  - [Holograms] Registering default grid sources
2019-12-24 21:48:31.284 [main] INFO  - Loading Multipass v${pom.version}
2019-12-24 21:48:31.305 [main] INFO  - Loading MultiChat v1.0.2
