2019-12-25 00:00:17.062 [main] INFO  - §7[Member]§fcyruswwpro: nani
2019-12-25 00:00:47.311 [main] INFO  - §7[Member]§fDarkDragon3918: hello
2019-12-25 00:00:47.325 [main] INFO  - §7[Member]§fcyruswwpro: ?
2019-12-25 00:00:59.711 [main] INFO  - §7[Member]§fcyruswwpro: i cant
2019-12-25 00:01:13.507 [pool-4-thread-1] INFO  - [§eSRegionProtector§f] §aStarting auto save...
2019-12-25 00:01:13.507 [Nukkit Asynchronous Task Handler #3] INFO  - [§eSRegionProtector§f] §aRemoved 0 empty chunks.
2019-12-25 00:01:13.513 [pool-4-thread-1] INFO  - [§eSRegionProtector§f] §a0 regions was automatically saved
2019-12-25 00:01:16.412 [main] INFO  - §7[Member]§fDarkDragon3918: is it glitching?
2019-12-25 00:01:42.510 [main] INFO  - §7[Member]§fDarkDragon3918: is it glitching?
2019-12-25 00:01:48.560 [main] INFO  - §7[Member]§fcyruswwpro: it say ask ur leader to /f sethome{faction tag=mine}
2019-12-25 00:02:43.960 [main] INFO  - §7[Member]§fcyruswwpro: light
2019-12-25 00:03:08.559 [main] INFO  - §c5 seconds left to cleaning items on the ground, animals and mobs!
2019-12-25 00:03:09.558 [main] INFO  - §c4 seconds left to cleaning items on the ground, animals and mobs!
2019-12-25 00:03:10.558 [main] INFO  - §c3 seconds left to cleaning items on the ground, animals and mobs!
2019-12-25 00:03:11.558 [main] INFO  - §c2 seconds left to cleaning items on the ground, animals and mobs!
2019-12-25 00:03:12.558 [main] INFO  - §c1 second left to cleaning items on the ground, animals and mobs!
2019-12-25 00:03:13.577 [main] INFO  - §cItems on the ground, animals and mobs deleted!
2019-12-25 00:03:26.021 [main] INFO  - §e§a§6cyruswwpro§e:  left the game
2019-12-25 00:03:26.026 [main] INFO  - §bcyruswwpro§f[/116.49.203.154:52703] logged out due to client disconnect
2019-12-25 00:05:19.261 [main] INFO  - §b[Owner]§fBeasty6000: ..sethome
2019-12-25 00:05:27.812 [main] INFO  - §b[Owner]§fBeasty6000: ..sethand
2019-12-25 00:05:35.762 [main] INFO  - §7[Member]§fDarkDragon3918: we are inside each other
2019-12-25 00:06:55.212 [main] INFO  - §7[Member]§fDarkDragon3918: I DID IT!!!!!!!
2019-12-25 00:06:59.362 [main] INFO  - §b[Owner]§fBeasty6000: nice
2019-12-25 00:07:13.508 [pool-4-thread-1] INFO  - [§eSRegionProtector§f] §aStarting auto save...
2019-12-25 00:07:13.508 [Nukkit Asynchronous Task Handler #4] INFO  - [§eSRegionProtector§f] §aRemoved 0 empty chunks.
2019-12-25 00:07:13.513 [pool-4-thread-1] INFO  - [§eSRegionProtector§f] §a0 regions was automatically saved
2019-12-25 00:07:20.885 [main] INFO  - §b[Owner]§fBeasty6000: nice
2019-12-25 00:08:08.558 [main] INFO  - §c5 seconds left to cleaning items on the ground, animals and mobs!
2019-12-25 00:08:09.559 [main] INFO  - §c4 seconds left to cleaning items on the ground, animals and mobs!
2019-12-25 00:08:10.558 [main] INFO  - §c3 seconds left to cleaning items on the ground, animals and mobs!
2019-12-25 00:08:11.558 [main] INFO  - §c2 seconds left to cleaning items on the ground, animals and mobs!
2019-12-25 00:08:12.561 [main] INFO  - §c1 second left to cleaning items on the ground, animals and mobs!
2019-12-25 00:08:13.557 [main] INFO  - §cItems on the ground, animals and mobs deleted!
2019-12-25 00:08:43.474 [main] INFO  - §e§a§6LemonSqueezy360§e:  left the game
2019-12-25 00:08:43.479 [main] INFO  - §bLemonSqueezy360§f[/192.168.1.254:19133] logged out due to Kicked by admin.
2019-12-25 00:08:43.483 [main] INFO  - [Beasty6000: Kicked LemonSqueezy360 from the game]
2019-12-25 00:11:33.207 [main] INFO  - §b[Owner]§fBeasty6000: ..sethand
2019-12-25 00:13:09.704 [main] INFO  - §c5 seconds left to cleaning items on the ground, animals and mobs!
2019-12-25 00:13:10.704 [main] INFO  - §c4 seconds left to cleaning items on the ground, animals and mobs!
2019-12-25 00:13:11.704 [main] INFO  - §c3 seconds left to cleaning items on the ground, animals and mobs!
2019-12-25 00:13:12.704 [main] INFO  - §c2 seconds left to cleaning items on the ground, animals and mobs!
2019-12-25 00:13:13.704 [main] INFO  - §c1 second left to cleaning items on the ground, animals and mobs!
2019-12-25 00:13:14.664 [Nukkit Asynchronous Task Handler #4] INFO  - [§eSRegionProtector§f] §aRemoved 0 empty chunks.
2019-12-25 00:13:14.669 [pool-4-thread-1] INFO  - [§eSRegionProtector§f] §aStarting auto save...
2019-12-25 00:13:14.684 [pool-4-thread-1] INFO  - [§eSRegionProtector§f] §a0 regions was automatically saved
2019-12-25 00:13:14.729 [main] INFO  - §cItems on the ground, animals and mobs deleted!
2019-12-25 00:13:41.007 [main] INFO  - §b[Owner]§fBeasty6000: i am ganna go now
2019-12-25 00:14:39.814 [main] INFO  - §e§a§6Beasty6000§e:  left the game
2019-12-25 00:14:39.819 [main] INFO  - §bBeasty6000§f[/173.75.62.21:59400] logged out due to client disconnect
2019-12-25 00:15:06.566 [main] INFO  - §e§a§6DarkDragon3918§e:  left the game
2019-12-25 00:15:06.570 [main] INFO  - §bDarkDragon3918§f[/69.132.32.135:54582] logged out due to client disconnect
2019-12-25 00:18:09.704 [main] INFO  - §c5 seconds left to cleaning items on the ground, animals and mobs!
2019-12-25 00:18:10.704 [main] INFO  - §c4 seconds left to cleaning items on the ground, animals and mobs!
2019-12-25 00:18:11.704 [main] INFO  - §c3 seconds left to cleaning items on the ground, animals and mobs!
2019-12-25 00:18:12.704 [main] INFO  - §c2 seconds left to cleaning items on the ground, animals and mobs!
2019-12-25 00:18:13.704 [main] INFO  - §c1 second left to cleaning items on the ground, animals and mobs!
2019-12-25 00:18:14.705 [main] INFO  - §cItems on the ground, animals and mobs deleted!
