2019-12-25 11:20:28.970 [main] INFO  - Loading §anukkit.yml§f ...
2019-12-25 11:20:29.136 [main] INFO  - Loading §aserver.properties§f ...
2019-12-25 11:20:29.154 [main] INFO  - Selected English (eng) as the base language
2019-12-25 11:20:29.160 [main] INFO  - Starting Minecraft: BE server version §bv1.14.0§r
2019-12-25 11:20:29.175 [main] INFO  - Selected Zlib Provider: 2 (cn.nukkit.utils.ZlibThreadLocal)
2019-12-25 11:20:29.285 [main] INFO  - Opening server on 0.0.0.0:19132
2019-12-25 11:20:29.346 [main] INFO  - This server is running Nukkit version §egit-8088000§f "§b§f" (API 1.0.9)
2019-12-25 11:20:29.350 [main] INFO  - Nukkit is distributed under the LGPL License
2019-12-25 11:20:31.390 [main] INFO  - Loading recipes...
2019-12-25 11:20:31.775 [main] INFO  - Loaded 1320 recipes.
2019-12-25 11:20:31.782 [main] INFO  - Successfully loaded 0 resource packs
2019-12-25 11:20:31.928 [main] INFO  - Loading AutoCleaner v1.0.1
2019-12-25 11:20:31.956 [main] INFO  - Loading CustomEnchantsNK v1.0.0-beta3
2019-12-25 11:20:31.973 [main] INFO  - Loading DiscordChat v2.0-beta
2019-12-25 11:20:31.986 [main] INFO  - Loading EconomyAPI v2.0.1
2019-12-25 11:20:32.018 [main] INFO  - Loading EconomyJob v1.0
2019-12-25 11:20:32.039 [main] INFO  - Loading EssentialsNK v1.8.0
2019-12-25 11:20:32.065 [main] INFO  - Loading Factions v1.7.0
2019-12-25 11:20:32.085 [RakNet Thread #14] INFO  - Epoll Status is false
2019-12-25 11:20:32.091 [main] INFO  - Loading FakeInventories v1.0.3
2019-12-25 11:20:32.116 [main] INFO  - Loading FastAsyncWorldEdit v19.03.29-d13b946-1257-22.0.14
2019-12-25 11:20:32.133 [main] INFO  - Loading GCape v2.2
2019-12-25 11:20:32.158 [main] INFO  - [GCape] Loading GCapes by G.M.
2019-12-25 11:20:32.167 [main] INFO  - Loading KotlinLib v1.1
2019-12-25 11:20:32.180 [main] INFO  - Loading LoveRTP v1
2019-12-25 11:20:32.197 [main] INFO  - Loading MultiWorld v1.0
2019-12-25 11:20:32.213 [main] INFO  - Loading Pets v1.3
2019-12-25 11:20:32.228 [main] INFO  - Loading PlaceholderAPI v1.3.1
2019-12-25 11:20:32.383 [main] INFO  - Loading Pokkit v0.9.1
2019-12-25 11:20:32.509 [main] INFO  - [Pokkit] This server is running Nukkit version v1.14.0 (Implementing API version 1.13.2-R0.1-SNAPSHOT)
2019-12-25 11:20:32.540 [main] INFO  - [Pokkit] Server permissions file C:\Users\Lemon\OneDrive\Documents\Music\Desktop\nukkit\plugins\Pokkit\permissions.yml is empty, ignoring it
2019-12-25 11:20:32.612 [main] INFO  - [Pokkit] [Vault] Enabling Vault v1.7.2-b107
2019-12-25 11:20:32.763 [main] INFO  - [Pokkit] [Vault] [Permission] SuperPermissions loaded as backup permission system.
2019-12-25 11:20:32.835 [main] INFO  - [Pokkit] [Vault] Enabled Version 1.7.2-b107
2019-12-25 11:20:32.843 [main] INFO  - Loading QuickSpawns v1.0
2019-12-25 11:20:32.858 [main] INFO  - [QuickSpawns] Loading QuickSpawns...
2019-12-25 11:20:32.867 [main] INFO  - Loading ReportSystem v1.0-SNAPSHOT
2019-12-25 11:20:32.885 [main] INFO  - Loading Scale v2.1
2019-12-25 11:20:32.900 [main] INFO  - Loading SeeInv v1.0
2019-12-25 11:20:32.926 [main] INFO  - Loading SRegionProtector v20.2
2019-12-25 11:20:32.969 [main] INFO  - Loading Trading_Interface v1.0.2
2019-12-25 11:20:33.033 [main] INFO  - Loading WalkingParticles v1.0.1
2019-12-25 11:20:33.099 [main] INFO  - Loading ChestShop v1.1.1
2019-12-25 11:20:33.295 [main] INFO  - Loading Holograms v3.1.3
2019-12-25 11:20:33.394 [main] INFO  - [Holograms] Loading characters...
2019-12-25 11:20:33.781 [main] INFO  - [Holograms] Loading config...
2019-12-25 11:20:33.812 [main] INFO  - [Holograms] Loading placeholders
2019-12-25 11:20:33.819 [main] INFO  - [Holograms] Registering default grid sources
2019-12-25 11:20:33.842 [main] INFO  - Loading Multipass v${pom.version}
2019-12-25 11:20:33.856 [main] INFO  - Loading MultiChat v1.0.2
2019-12-25 11:20:33.865 [main] INFO  - Enabling QuickSpawns v1.0
2019-12-25 11:20:33.869 [main] INFO  - [QuickSpawns] Enabling QuickSpawns..
2019-12-25 11:20:33.881 [main] INFO  - Enabling SRegionProtector v20.2
2019-12-25 11:20:34.066 [main] INFO  - [§eSRegionProtector§f] §aData provider was set to YAML
